Country;ISO-3
Australia;AUS
Austria;AUT
Belgium;BEL
Canada;CAN
Chile;CHL
Czech Republic;CZE
Denmark;DNK
Estonia;EST
Finland;FIN
France;FRA
Germany;DEU
Greece;GRC
Hungary;HUN
Iceland;ISL
Ireland;IRL
Israel;ISR
Italy;ITA
Japan;JPN
Korea;KOR
Luxembourg;LUX
Mexico;MEX
Netherlands;NLD
New Zealand;NZL
Norway;NOR
Poland;POL
Portugal;PRT
Slovak Republic;SVK
Slovenia;SVN
Spain;ESP
Sweden;SWE
Switzerland;CHE
Turkey;TUR
United Kingdom;GBR
United States;USA
Euro area;EMU
